tiempo,PMV_0001EB,PPD_0001EB,PMV_001EB,PPD_001EB,PMV_01EB,PPD_01EB,PMV_003EB,PPD_003EB
2019-06-11 22:00:00,-0.6975722207843256,15.23304557814052,-0.674432658328979,14.559026695554836,-0.7987465083215298,18.45055258287296,-0.7149344964550824,15.753966698533333
2019-06-11 22:10:00,-0.7116651003693344,15.654881333936515,-0.6912718590710468,15.047232963673023,-0.8342719646461096,19.68363055064629,-0.741323342222746,16.5705730062149
2019-06-11 22:20:00,-0.7314645966168876,16.26198964948661,-0.7135418303474048,15.711702942251506,-0.8775706136245377,21.25782833795661,-0.7737434365571354,17.614697350594952
2019-06-11 22:30:00,-0.7512893147989825,16.88675087333675,-0.7416251732408639,16.58008628465089,-0.9373580666897572,23.557734328539127,-0.8124893139281684,18.92125743815427
2019-06-11 22:40:00,-0.7632178084154646,17.270782278183376,-0.7583630330524763,17.113751078453163,-0.9633938337081884,24.603984812165535,-0.8342083880574653,19.68137646464976
2019-06-11 22:50:00,-0.7751363104579375,17.66056215587905,-0.7736596214129245,17.61194010699522,-0.9846026612600648,25.47584686978036,-0.852846443346436,20.349408161407084
2019-06-11 23:00:00,-0.7827644917738464,17.91320919812223,-0.7822518930172079,17.896154223773735,-0.9887190649593796,25.64707729729986,-0.8610348671860047,20.647469479564492
2019-06-11 23:10:00,-0.7891470542008305,18.126502245576944,-0.78841234485041,18.10186154390755,-0.9900412980019964,25.70221612170531,-0.8655083021975197,20.81147706806513
2019-06-11 23:20:00,-0.7920721947450966,18.224832838317624,-0.7886364478057927,18.109375086062528,-0.9796825131441136,25.27203721750583,-0.861676766827301,20.67095229241777
2019-06-11 23:30:00,-0.793447245823575,18.271181521908815,-0.7874998536466078,18.07129029481385,-0.971768582964946,24.94617482490604,-0.857504900130416,20.518636564893928
2019-06-11 23:40:00,-0.7972308715899042,18.39912939223932,-0.7907469432063748,18.180238626542888,-0.9763822125227672,25.13585022663364,-0.8611590060396401,20.652009559281822
2019-06-11 23:49:59,-0.8099186965345768,18.832604867441248,-0.8064658888537529,18.71396706175379,-1.007435440203216,26.433772044731256,-0.8826331392738914,21.446944146093916
2019-06-12 00:00:00,-0.8150553460696318,19.010029693319467,-0.819136877743732,19.151802184311137,-1.053257724661516,28.41503635207835,-0.9072508968875844,22.381492566593096
2019-06-12 00:10:00,-0.8227510757462779,19.27792678900316,-0.8406793367414565,19.9116684599975,-1.1310693907054528,31.950425069517863,-0.9493863313138984,24.037771139815877
2019-06-12 00:20:00,-0.8286413113823708,19.484653930821906,-0.8568021763644137,20.493050951253664,-1.1596313214889784,33.29876912551593,-0.9753998666103156,25.09539498513803
2019-06-12 00:30:00,-0.8423196420515338,19.970322483295575,-0.8784697930101354,21.29134125739425,-1.1892060360571832,34.72164188606993,-1.0032781153032964,26.257881630122867
2019-06-12 00:40:00,-0.8622373647307233,20.691474769011197,-0.908495176194195,22.42938227936311,-1.2467034270790645,37.56029521761827,-1.0441999941514288,28.0172871884037
2019-06-12 00:50:00,-0.868123802670439,20.907751168487422,-0.9190988973669512,22.840033485769652,-1.2441949352397716,37.43457240437973,-1.0543230587072772,28.462012755671864
2019-06-12 01:00:00,-0.8774664773473609,21.2539492669804,-0.9311372634300232,23.31172133072228,-1.2421253387932143,37.33097032759581,-1.0624979633504772,28.82384395902459
2019-06-12 01:10:00,-0.8901400331823217,21.729305019661908,-0.9491027160922793,24.026386461488983,-1.272422896720968,38.85857240683229,-1.0825759834058597,29.7225844100697
2019-06-12 01:20:00,-0.8968917195862285,21.985225941801772,-0.960455944774174,24.484591455196608,-1.2852221593665185,39.5107124061601,-1.094370126527804,30.2570820143544
2019-06-12 01:30:00,-0.9039600890510991,22.25513836467779,-0.9707445609973734,24.90418717167248,-1.2871858261315132,39.61110658442009,-1.1025212015734294,30.62927135137342
2019-06-12 01:40:00,-0.9148504764877656,22.67496027395713,-0.985353170632003,25.50701741861178,-1.3015944775021613,40.35046978110578,-1.1165850594922981,31.27673131691094
2019-06-12 01:50:00,-0.9242693257980552,23.041910154587327,-0.9978822652485944,26.030566077428816,-1.31486877105134,41.03571424949232,-1.12839960037095,31.825730015763583
2019-06-12 02:00:00,-0.92930516853599,23.23956192221219,-1.003519330962984,26.26806927724965,-1.3088923052345913,40.72672359879799,-1.1295523870148614,31.87954345676504
2019-06-12 02:10:00,-0.9388606885466636,23.617389139787637,-1.0143798189319737,26.72902991588404,-1.3189975187619545,41.249620224179736,-1.1385890386636577,32.30288187416197
2019-06-12 02:20:00,-0.9515967164010204,24.12660747725683,-1.0297343715679872,27.38826092177574,-1.3437871492391664,42.54127441348511,-1.1555217582570985,33.10317456007135
2019-06-12 02:30:00,-0.966045117493656,24.712020101367983,-1.0470290787135323,28.141200830626133,-1.3699466311749768,43.9170008972465,-1.1751110266840623,34.040210639995735
2019-06-12 02:40:00,-0.9772877498376956,25.173175367471416,-1.0588434001181548,28.66179284218885,-1.3781640498405556,44.351628495643936,-1.1855351070267028,34.543598344600866
2019-06-12 02:50:00,-0.9904723949195212,25.72020787761332,-1.072552374025186,29.27212834253849,-1.3975025560989973,45.37874509475616,-1.1995178874981016,35.2238924140282
2019-06-12 03:00:00,-1.00491337796162,26.32698937851194,-1.0889517123798065,30.0109287903026,-1.4278174693756074,46.999745364299685,-1.2194822934812324,36.204952602407246
2019-06-12 03:10:00,-1.015933081846226,26.795318342216177,-1.101004993509434,30.55986783933523,-1.4414496918942006,47.73249159673805,-1.2327689572436173,36.8640111678291
2019-06-12 03:20:00,-1.0291035583548778,27.36100539429978,-1.114964450681576,31.20178519077057,-1.4588112577337484,48.66863370863907,-1.2478045492406515,37.6155339185094
2019-06-12 03:30:00,-1.0435514661134622,27.988922692158383,-1.1306120923202876,31.92905001937858,-1.482071416735598,49.92723432408712,-1.2655013013031873,38.50755495919114
2019-06-12 03:40:00,-1.058963437706,28.6671079828906,-1.1479011242758277,32.74187337525564,-1.5102840329612752,51.4590710794405,-1.2860870718273056,39.554920728099695
2019-06-12 03:50:00,-1.0747696830482953,29.37146970822244,-1.1647341599358145,33.54236930622719,-1.5343805071325345,52.77051455354669,-1.3050264032019567,40.527263663334054
2019-06-12 04:00:00,-1.090935606007596,30.10093786245236,-1.1824983724906541,34.39661605174037,-1.56405486662134,54.387395092690504,-1.3263123865149757,41.62946981049721
2019-06-12 04:10:00,-1.1106439034786282,31.00240713691055,-1.2051182704916903,35.49795641760774,-1.604207081846612,56.57423200216134,-1.3546903161360004,43.11316356340796
2019-06-12 04:20:00,-1.1327822444879685,32.03054780614971,-1.2310205360394393,36.777010059333065,-1.6500308150986884,59.06117630119119,-1.3874747142020416,44.84541300716544
2019-06-12 04:30:00,-1.156232614344821,33.13697000368151,-1.2572781751299635,38.09207474091671,-1.6935357907108008,61.40529133886117,-1.4192330479437931,46.539475360135285
