Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE: JORGE:Zone Mean Air Temperature [C](TimeStep) 
 05/05  21:20:00,28.5,28.52891722237209 
 05/05  21:30:00,28.4,28.428624239189284 
 05/05  21:40:00,28.3,28.354114341154909 
 05/05  21:50:00,28.1,28.1892331917216 
 05/05  22:00:00,28.0,28.083959866925114 
 05/05  22:10:00,28.1,28.17708369427787 
 05/05  22:20:00,27.7,27.930466461297969 
 05/05  22:30:00,26.9,27.411266043784143 
 05/05  22:40:00,26.8,27.290485046428839 
 05/05  22:50:00,26.7,27.39789703424017 
 05/05  23:00:00,26.5,27.305600439588877 
 05/05  23:10:00,26.3,27.112560110994254 
 05/05  23:20:00,25.9,26.706644908259425 
 05/05  23:30:00,25.1,26.5067590568069 
 05/05  23:40:00,25.4,26.264380413762994 
 05/05  23:50:00,25.3,26.207813417103027 
 05/05  24:00:00,25.0,25.725497003946257 
 05/06  00:10:00,24.8,25.660735238061933 
 05/06  00:20:00,24.6,25.622897898448035 
 05/06  00:30:00,24.4,25.69766636322927 
 05/06  00:40:00,24.4,25.72361751565803 
 05/06  00:50:00,24.0,25.562186356984044 
 05/06  01:00:00,24.2,25.619506159652138 
 05/06  01:10:00,24.1,25.57626676738133 
 05/06  01:20:00,23.9,25.40224650654686 
 05/06  01:30:00,23.7,25.23910684512687 
 05/06  01:40:00,23.4,24.990831836614754 
 05/06  01:50:00,23.0,24.82968097581636 
 05/06  02:00:00,22.9,24.745259597511315 
 05/06  02:10:00,22.4,24.36123224818073 
 05/06  02:20:00,22.1,24.08580395428863 
 05/06  02:30:00,22.2,24.051693051270616 
 05/06  02:40:00,21.9,23.819153073637339 
 05/06  02:50:00,21.8,23.477893759468246 
 05/06  03:00:00,21.8,23.595440792087986 
 05/06  03:10:00,21.6,23.626713692265633 
 05/06  03:20:00,21.4,23.50170814348037 
 05/06  03:30:00,21.5,23.452972255696808 
 05/06  03:40:00,21.6,23.50965681296029 
 05/06  03:50:00,21.9,23.722150003231 
 05/06  04:00:00,21.8,23.588314221580715 
 05/06  04:10:00,22.0,23.644530711761388 
 05/06  04:20:00,22.3,23.827516233165519 
 05/06  04:30:00,22.4,23.923110467738647 
 05/06  04:40:00,22.1,23.661876699137893 
 05/06  04:50:00,21.8,23.432048508791725 
 05/06  05:00:00,21.8,23.432922760434854 
 05/06  05:10:00,21.7,23.371982793860864 
 05/06  05:20:00,21.6,23.013565733422788 
 05/06  05:30:00,21.6,22.983989838091419 
 05/06  05:40:00,21.2,22.901612198689585 
 05/06  05:50:00,21.1,22.613839842523828 
 05/06  06:00:00,20.8,22.08918816338506 
 05/06  06:10:00,20.6,21.941997681254415 
 05/06  06:20:00,20.5,22.21748043122111 
 05/06  06:30:00,20.3,21.806308870781089 
 05/06  06:40:00,20.9,21.807018049057019 
 05/06  06:50:00,20.8,21.982201946800733 
 05/06  07:00:00,20.6,21.780581481647578 
 05/06  07:10:00,20.8,21.738440275175269 
 05/06  07:20:00,21.0,22.189680846254384 
 05/06  07:30:00,21.5,22.349172467922274 
 05/06  07:40:00,22.0,22.835251607940259 
 05/06  07:50:00,22.4,23.272893366175248 
 05/06  08:00:00,23.3,23.642896198511776 
 05/06  08:10:00,24.4,24.123166676850468 
 05/06  08:20:00,24.7,24.606614294412979 
 05/06  08:30:00,25.0,24.808331445672026 
 05/06  08:40:00,25.2,24.888026627454953 
 05/06  08:50:00,25.3,24.91921289347756 
 05/06  09:00:00,25.5,25.059168068299515 
 05/06  09:10:00,26.0,25.248891490191178 
 05/06  09:20:00,26.3,25.462646647029606 
 05/06  09:30:00,26.3,25.592287742121628 
 05/06  09:40:00,26.8,25.880969702002809 
 05/06  09:50:00,26.9,26.04917966243445 
 05/06  10:00:00,27.5,26.290592950422505 
 05/06  10:10:00,27.5,26.443152467535716 
 05/06  10:20:00,27.8,26.657346331600935 
 05/06  10:30:00,28.0,26.844067987510685 
 05/06  10:40:00,27.4,26.60772644506645 
 05/06  10:50:00,27.7,26.68215057328687 
 05/06  11:00:00,28.6,27.215025822528607 
 05/06  11:10:00,28.4,27.31444798768322 
 05/06  11:20:00,29.5,28.372705666006917 
 05/06  11:30:00,29.8,28.28433692270794 
 05/06  11:40:00,29.8,28.235111939642409 
 05/06  11:50:00,30.5,28.62252106779802 
 05/06  12:00:00,30.3,28.425395995413714 
 05/06  12:10:00,30.7,28.916079867682883 
 05/06  12:20:00,30.7,29.664103255038098 
 05/06  12:30:00,30.9,29.182702485929505 
 05/06  12:40:00,31.1,29.75491532136322 
 05/06  12:50:00,31.3,30.04092190924149 
 05/06  13:00:00,31.1,29.560816859023864 
 05/06  13:10:00,31.1,30.26588560808943 
 05/06  13:20:00,32.2,30.02732801304793 
 05/06  13:30:00,32.4,31.20753717515776 
