Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),NORTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),OESTE:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),SUR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/05  14:50:00,32.9,173.47452968365404,173.47452968365404,517.1641155921185,433.74796203340108,675.0051302411873 
 03/05  15:00:00,33.3,179.74857275298477,179.74857275298477,558.692370114188,441.9500245428312,687.0673455131699 
 03/05  15:10:00,33.9,189.5165397570087,189.5165397570087,598.9269565626514,449.5600722911085,699.613464846472 
 03/05  15:20:00,33.6,167.75947591968598,167.75947591968598,485.998264570973,354.023425121611,557.9593169084858 
 03/05  15:30:00,32.9,169.03751579942685,169.03751579942685,492.13402889585628,343.84165839002295,538.7072676359977 
 03/05  15:40:00,33.3,149.50621402215928,149.50621402215928,456.14328003048908,303.24491282581138,470.32864859202268 
 03/05  15:50:00,33.5,111.44522879069908,111.44522879069908,348.4983126401248,221.80533321744663,338.5925432866397 
 03/05  16:00:00,32.9,63.590171399749809,63.590171399749809,65.26091183466964,64.31351871721498,121.40654325242429 
 03/05  16:10:00,32.6,43.64484919863681,43.64484919863681,43.64561522500265,43.64515797754264,83.00056379002665 
 03/05  16:20:00,30.9,31.900803786057169,31.900803786057169,31.900803786057169,31.900803786057169,60.94 
 03/05  16:30:00,29.4,25.73990605877602,25.73990605877602,25.73990605877602,25.73990605877602,49.32 
 03/05  16:40:00,29.0,19.449737188601156,19.449737188601156,19.453947875109756,19.451110806358839,37.39232019253125 
 03/05  16:50:00,28.4,22.44991008632345,22.44991008632345,22.47756970132305,22.458316259762513,43.16372158686837 
 03/05  17:00:00,29.2,32.26037340854136,32.26037340854136,33.69575139526596,32.666458157735238,62.316921668416608 
 03/05  17:10:00,28.0,51.907807736398819,51.907807736398819,58.1357334258213,53.54599882980639,100.8217000614379 
 03/05  17:20:00,26.8,65.49212741948822,65.49212741948822,92.76318924789247,72.15079492845655,131.90349861409374 
 03/05  17:30:00,26.8,58.07941309463624,58.07941309463624,85.71667604196489,64.3298916213339,117.03664067549676 
 03/05  17:40:00,27.5,47.25325689388055,47.25325689388055,68.09277795977738,51.60696543280328,94.29533449874353 
 03/05  17:50:00,28.0,48.00701948379829,48.00701948379829,89.34188809105038,55.95709130768254,98.27969959127936 
 03/05  18:00:00,28.3,41.53275249946796,41.53275249946796,93.1455410062102,50.63348981165049,85.91002617386775 
 03/05  18:10:00,28.1,42.46733508842303,42.46733508842303,177.9200313212449,64.25080082148253,93.71618017715169 
 03/05  18:20:00,28.4,32.00842829705497,32.00842829705497,195.21002121186235,55.79346516294138,72.02479641035095 
 03/05  18:30:00,28.3,18.119311983232398,18.119311983232398,95.82867387333892,28.30107093616792,39.85201902693178 
 03/05  18:40:00,28.1,0.0,0.0,0.0,0.0,0.0 
 03/05  18:50:00,27.9,0.0,0.0,0.0,0.0,0.0 
 03/05  19:00:00,27.8,0.0,0.0,0.0,0.0,0.0 
 03/05  19:10:00,27.7,0.0,0.0,0.0,0.0,0.0 
 03/05  19:20:00,27.4,0.0,0.0,0.0,0.0,0.0 
 03/05  19:30:00,27.0,0.0,0.0,0.0,0.0,0.0 
 03/05  19:40:00,26.9,0.0,0.0,0.0,0.0,0.0 
 03/05  19:50:00,26.6,0.0,0.0,0.0,0.0,0.0 
