Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep) 
 05/04  23:20:00,26.9,0.0 
 05/04  23:30:00,26.9,0.0 
 05/04  23:40:00,26.8,0.0 
 05/04  23:50:00,26.2,0.0 
 05/04  24:00:00,26.2,0.0 
 05/05  00:10:00,25.9,0.0 
 05/05  00:20:00,26.1,0.0 
 05/05  00:30:00,26.1,0.0 
 05/05  00:40:00,26.2,0.0 
 05/05  00:50:00,25.8,0.0 
 05/05  01:00:00,25.9,0.0 
 05/05  01:10:00,25.7,0.0 
 05/05  01:20:00,25.3,0.0 
 05/05  01:30:00,24.9,0.0 
 05/05  01:40:00,24.1,0.0 
 05/05  01:50:00,23.7,0.0 
 05/05  02:00:00,23.4,0.0 
 05/05  02:10:00,23.4,0.0 
 05/05  02:20:00,23.4,0.0 
 05/05  02:30:00,23.2,0.0 
 05/05  02:40:00,22.8,0.0 
 05/05  02:50:00,22.7,0.0 
 05/05  03:00:00,22.4,0.0 
 05/05  03:10:00,22.4,0.0 
 05/05  03:20:00,22.7,0.0 
 05/05  03:30:00,22.5,0.0 
 05/05  03:40:00,22.1,0.0 
 05/05  03:50:00,22.3,0.0 
 05/05  04:00:00,22.5,0.0 
 05/05  04:10:00,22.9,0.0 
 05/05  04:20:00,23.1,0.0 
 05/05  04:30:00,22.5,0.0 
 05/05  04:40:00,22.4,0.0 
 05/05  04:50:00,22.5,0.0 
 05/05  05:00:00,22.3,0.0 
 05/05  05:10:00,22.0,0.0 
 05/05  05:20:00,21.8,0.0 
 05/05  05:30:00,22.0,0.0 
 05/05  05:40:00,21.8,0.0 
 05/05  05:50:00,21.6,0.0 
 05/05  06:00:00,21.4,0.0 
 05/05  06:10:00,21.2,0.0 
 05/05  06:20:00,21.1,0.0 
 05/05  06:30:00,21.0,1.985 
 05/05  06:40:00,21.3,8.71 
 05/05  06:50:00,21.4,18.98 
 05/05  07:00:00,21.8,31.15 
 05/05  07:10:00,21.2,42.2 
 05/05  07:20:00,21.2,54.66 
 05/05  07:30:00,21.7,67.62 
 05/05  07:40:00,22.5,79.67 
 05/05  07:50:00,23.2,90.8 
 05/05  08:00:00,23.6,101.2 
 05/05  08:10:00,24.7,111.7 
 05/05  08:20:00,25.6,123.4 
 05/05  08:30:00,26.1,132.9 
 05/05  08:40:00,26.6,143.6 
 05/05  08:50:00,26.7,154.5 
 05/05  09:00:00,26.5,170.6 
 05/05  09:10:00,27.0,194.7 
 05/05  09:20:00,27.3,217.7 
 05/05  09:30:00,27.5,247.7 
 05/05  09:40:00,27.5,267.1 
 05/05  09:50:00,27.6,289.7 
 05/05  10:00:00,27.4,295.9 
 05/05  10:10:00,27.2,304.1 
 05/05  10:20:00,28.0,322.3 
